word,frequency,probability
पहुंचे,4822,0.0002068413883012
ट्विटर,4802,0.0002059834812572
रेलवे,4802,0.0002059834812572
अमेरिकी,4801,0.000205940585905
टिकट,4798,0.0002058118998484
घोषणा,4794,0.0002056403184396
संसद,4783,0.0002051684695654
पहचान,4776,0.0002048682021
होंगे.,4767,0.0002044821439302
भर्ती,4749,0.0002037100275907
करें.,4731,0.0002029379112511
अभियान,4731,0.0002029379112511
बाजार,4728,0.0002028092251945
गठबंधन,4718,0.0002023802716725
ट्रेन,4693,0.0002013078878676
हालत,4690,0.000201179201811
लालू,4689,0.0002011363064588
रोक,4681,0.0002007931436412
वर्ष,4678,0.0002006644575846
जिंदगी,4676,0.0002005786668802
हो.,4676,0.0002005786668802
भारी,4669,0.0002002783994148
ऐलान,4665,0.000200106818006
नवंबर,4645,0.000199248910962
बनने,4634,0.0001987770620878
विदेश,4625,0.0001983910039181
शराब,4615,0.0001979620503961
विपक्ष,4610,0.0001977475736351
होकर,4605,0.0001975330968741
जून,4604,0.0001974902015219
बताते,4601,0.0001973615154653
अप्रैल,4601,0.0001973615154653
प्यार,4580,0.0001964607130691
चाहती,4575,0.0001962462363081
सत्ता,4572,0.0001961175502515
लगभग,4567,0.0001959030734905
बीते,4563,0.0001957314920817
पूछा,4545,0.0001949593757422
भूमिका,4539,0.000194702003629
मिलकर,4537,0.0001946162129246
सदस्य,4526,0.0001941443640504
भेज,4521,0.0001939298872894
दलित,4517,0.0001937583058806
नगर,4498,0.0001929432941888
वर्षीय,4491,0.0001926430267235
प्रशासन,4485,0.0001923856546103
अच्छी,4475,0.0001919567010883
दीपिका,4474,0.0001919138057361
देकर,4473,0.0001918709103839
प्रसाद,4472,0.0001918280150317
मेरी,4470,0.0001917422243273
इलाज,4459,0.0001912703754531
थाने,4457,0.0001911845847487
तैयारी,4436,0.0001902837823525
समाज,4432,0.0001901122009437
सीटें,4432,0.0001901122009437
नहीं.,4396,0.0001885679682646
कौन,4386,0.0001881390147426
अनुसार,4381,0.0001879245379816
मगर,4357,0.0001868950495289
पक्ष,4357,0.0001868950495289
मोबाइल,4341,0.0001862087238937
अली,4327,0.0001856081889629
नोटबंदी,4326,0.0001855652936107
होगी,4325,0.0001855223982585
हाई,4306,0.0001847073865667
हफ्ते,4303,0.0001845787005101
ट्रंप,4296,0.0001842784330447
जैसी,4281,0.0001836350027618
आग,4281,0.0001836350027618
साबित,4275,0.0001833776306486
कपिल,4273,0.0001832918399442
हिरासत,4269,0.0001831202585354
हालात,4259,0.0001826913050134
विशेष,4250,0.0001823052468436
ताकि,4247,0.000182176560787
तिवारी,4245,0.0001820907700826
टेस्ट,4240,0.0001818762933216
स्थानीय,4229,0.0001814044444474
जवान,4218,0.0001809325955733
बेहतर,4211,0.0001806323281079
आते,4201,0.0001802033745859
जमकर,4200,0.0001801604792337
परिजनों,4197,0.0001800317931771
पहला,4184,0.0001794741535985
छात्रों,4171,0.0001789165140199
अपील,4153,0.0001781443976804
असर,4145,0.0001778012348628
सपा,4144,0.0001777583395106
प्रतिशत,4142,0.0001776725488062
परीक्षा,4127,0.0001770291185232
किसान,4121,0.00017677174641
आमिर,4099,0.0001758280486616
कीमत,4093,0.0001755706765484
रहा.,4044,0.0001734688042907
बाबा,4044,0.0001734688042907
दोस्त,4041,0.0001733401182341
लखनऊ,4031,0.0001729111647121
बदमाशों,4022,0.0001725251065424
फरवरी,4020,0.000172439315838
जुलाई,4019,0.0001723964204858
थाना,4008,0.0001719245716116
केवल,4003,0.0001717100948506
व्यवस्था,3982,0.0001708092924544
एवं,3972,0.0001703803389324
इनमें,3971,0.0001703374435802
मौका,3961,0.0001699084900582
चुनावी,3961,0.0001699084900582
ली.,3956,0.0001696940132973
धमकी,3952,0.0001695224318885
दिल,3950,0.0001694366411841
बलात्कार,3948,0.0001693508504797
एजेंसी,3935,0.0001687932109011
छह,3934,0.0001687503155489
कमाई,3934,0.0001687503155489
राज्यसभा,3928,0.0001684929434357
प्रस्ताव,3927,0.0001684500480835
जरूर,3924,0.0001683213620269
साजिश,3919,0.0001681068852659
अगस्त,3916,0.0001679781992093
जाकर,3912,0.0001678066178005
पैसे,3910,0.0001677208270961
रहती,3904,0.0001674634549829
बाकी,3903,0.0001674205596307
वायरस,3900,0.0001672918735741
नुकसान,3889,0.0001668200247
फांसी,3886,0.0001666913386434
चुनावों,3874,0.000166176594417
इलाकों,3870,0.0001660050130082
रैली,3866,0.0001658334315994
बनाए,3856,0.0001654044780774
चाहता,3853,0.0001652757920208
वित्त,3835,0.0001645036756812
मैच,3833,0.0001644178849768
दोषी,3820,0.0001638602453983
मिनट,3813,0.0001635599779329
पाया,3809,0.0001633883965241
याद,3788,0.0001624875941279
केरल,3786,0.0001624018034235
पत्र,3786,0.0001624018034235
तभी,3786,0.0001624018034235
व,3782,0.0001622302220147
लगाए,3773,0.0001618441638449
गैंगरेप,3747,0.0001607288846878
बंगाल,3737,0.0001602999311658
कंगना,3728,0.000159913872996
शाहरुख,3727,0.0001598709776438
आर्थिक,3722,0.0001596565008828
सहित,3722,0.0001596565008828
मेरा,3716,0.0001593991287696
बदलाव,3714,0.0001593133380652
तीनों,3705,0.0001589272798954
स्टेशन,3701,0.0001587556984866
दलों,3698,0.00015862701243
खेल,3697,0.0001585841170778
अच्छे,3697,0.0001585841170778
राज,3693,0.000158412535669
दिख,3687,0.0001581551635559
समिति,3668,0.0001573401518641
बातें,3664,0.0001571685704553
पहुंची,3658,0.0001569111983421
जाए,3658,0.0001569111983421
मजबूत,3655,0.0001567825122855
मामलों,3652,0.0001566538262289
सात,3648,0.0001564822448201
बारिश,3640,0.0001561390820025
संघ,3636,0.0001559675005937
प्रवक्ता,3627,0.0001555814424239
परेशान,3622,0.0001553669656629
दरअसल,3615,0.0001550666981976
रखी,3607,0.00015472353538
फायदा,3603,0.0001545519539712
दिखाई,3590,0.0001539943143926
ऊपर,3587,0.000153865628336
घोषित,3582,0.000153651151575
टैक्स,3576,0.0001533937794618
मारे,3564,0.0001528790352354
आती,3561,0.0001527503491788
आखिरी,3559,0.0001526645584744
प्रभावित,3551,0.0001523213956569
अक्षय,3542,0.0001519353374871
उनको,3541,0.0001518924421349
विजय,3540,0.0001518495467827
मुलायम,3538,0.0001517637560783
गाने,3533,0.0001515492793173
खराब,3525,0.0001512061164997
निर्देश,3522,0.0001510774304431
हाईकोर्ट,3520,0.0001509916397387
छात्रा,3512,0.0001506484769211
नोट,3510,0.0001505626862167
देखकर,3507,0.0001504340001601
पैदा,3502,0.0001502195233991
वकील,3490,0.0001497047791727
तैनात,3481,0.000149318721003
नेतृत्व,3481,0.000149318721003
धारा,3474,0.0001490184535376
यूनिवर्सिटी,3468,0.0001487610814244
समाजवादी,3467,0.0001487181860722
भेजा,3465,0.0001486323953678
नोटिस,3461,0.000148460813959
वैसे,3458,0.0001483321279024
मुश्किल,3454,0.0001481605464936
जाएंगे.,3454,0.0001481605464936
सितंबर,3447,0.0001478602790282
राहत,3446,0.000147817383676
किस,3435,0.0001473455348018
युवती,3428,0.0001470452673364
निर्माण,3419,0.0001466592091667
मैदान,3418,0.0001466163138145
बदल,3417,0.0001465734184623
इंटरव्यू,3408,0.0001461873602925
आंदोलन,3396,0.0001456726160661
सके.,3393,0.0001455439300095
हार,3390,0.0001454152439529
रणबीर,3389,0.0001453723486007
आतंकवाद,3380,0.0001449862904309
